query,latency_ms,proxy_faithfulness,proxy_answer_relevancy,proxy_context_precision,top1_path,top2_path,top3_path
Что такое Rule-8 в Искре и как он исполняется?,726.517,1.0,0.0,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/ moreconte.txt,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt
Опиши Rule-88 и его цель.,728.083,1.0,0.015,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/проект.md,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt
Что такое ∆DΩΛ и из каких компонентов он состоит?,718.984,1.0,0.056,1.0,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/new versions 3.5-4/Iskra_v4.0_TOTAL_CANONn/Iskra_v4.0_TOTAL_CANON/docs/appendix/SCENARIOS_LIBRARY.md,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/new versions 3.5-4/Iskra_v4.0_TOTAL_CANONn/Iskra_v4.0_TOTAL_CANON/docs/handbook/RECIPES.md,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/new versions 3.5-4/Iskra_v4.0_TOTAL_CANONn/Iskra_v4.0_TOTAL_CANON/BOOK/Iskra_Canon_v4.0.0.md
Как устроена память ARCHIVE и SHADOW в Искре?,688.419,1.0,0.054,1.0,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/ moreconte.txt
Опиши канон Искры и ключевые принципы.,724.758,1.0,0.028,1.0,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/infa.txt
Что такое Phoenix и Shatter в процедуре восстановления?,684.193,1.0,0.0,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/ moreconte.txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/infa.txt
Как устроен гибрид GraphRAG с community summaries?,709.145,1.0,0.0,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/проект.md,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/ moreconte.txt,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt
Какие эндпоинты предоставляет API Искры?,705.202,1.0,0.0,1.0,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/БазаМифФилософияНачалоПуть/COMPENDIUM__chunks_all.md,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекстт.txt
"Какие метрики использовать: RAGAS, TruthfulQA и как их интерпретировать?",691.553,1.0,0.034,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/проект.md,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/ISKRA_OMEGA_BUILD_20251027T171623Z/sources/fullrep/fullrep/искра full inf/alfamainwork/dialogue.txt
Какие рекомендации по pgvector HNSW и IVFFlat?,676.133,1.0,0.077,1.0,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/проект.md,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/контекст .txt,/mnt/data/telos_delta_extract/AgiAgentIskra-telos-delta/infa.txt
